Codepoint,Property,Description
1D3B,PVALID,MODIFIER LETTER CAPITAL REVERSED N
1D3C-1D4D,ID_DIS or FREE_PVAL,MODIFIER LETTER CAPITAL O..MODIFIER LETTER SMALL G
1D4E,PVALID,MODIFIER LETTER SMALL TURNED I
1D4F-1D6A,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL K..GREEK SUBSCRIPT SMALL LETTER CHI
1D6B-1D77,PVALID,LATIN SMALL LETTER UE..LATIN SMALL LETTER TURNED G
1D78,ID_DIS or FREE_PVAL,MODIFIER LETTER CYRILLIC EN
1D79-1D9A,PVALID,LATIN SMALL LETTER INSULAR G..LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
1D9B-1DBF,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL THETA
1DC0-1DE6,PVALID,COMBINING DOTTED GRAVE ACCENT..COMBINING LATIN SMALL LETTER Z
1DE7-1DFB,UNASSIGNED,<RESERVED>..<RESERVED>
1DFC-1E99,PVALID,COMBINING DOUBLE INVERTED BREVE BELOW..LATIN SMALL LETTER Y WITH RING ABOVE
1E9A-1E9B,ID_DIS or FREE_PVAL,LATIN SMALL LETTER A WITH RIGHT HALF RING..LATIN SMALL LETTER LONG S WITH DOT ABOVE
1E9C-1F15,PVALID,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE..GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F16-1F17,UNASSIGNED,<RESERVED>..<RESERVED>
1F18-1F1D,PVALID,GREEK CAPITAL LETTER EPSILON WITH PSILI..GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F1E-1F1F,UNASSIGNED,<RESERVED>..<RESERVED>
1F20-1F45,PVALID,GREEK SMALL LETTER ETA WITH PSILI..GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F46-1F47,UNASSIGNED,<RESERVED>..<RESERVED>
1F48-1F4D,PVALID,GREEK CAPITAL LETTER OMICRON WITH PSILI..GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F4E-1F4F,UNASSIGNED,<RESERVED>..<RESERVED>
1F50-1F57,PVALID,GREEK SMALL LETTER UPSILON WITH PSILI..GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F58,UNASSIGNED,<RESERVED>
1F59,PVALID,GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5A,UNASSIGNED,<RESERVED>
1F5B,PVALID,GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5C,UNASSIGNED,<RESERVED>
1F5D,PVALID,GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5E,UNASSIGNED,<RESERVED>
1F5F-1F70,PVALID,GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI..GREEK SMALL LETTER ALPHA WITH VARIA
1F71,ID_DIS or FREE_PVAL,GREEK SMALL LETTER ALPHA WITH OXIA
1F72,PVALID,GREEK SMALL LETTER EPSILON WITH VARIA
1F73,ID_DIS or FREE_PVAL,GREEK SMALL LETTER EPSILON WITH OXIA
1F74,PVALID,GREEK SMALL LETTER ETA WITH VARIA
1F75,ID_DIS or FREE_PVAL,GREEK SMALL LETTER ETA WITH OXIA
1F76,PVALID,GREEK SMALL LETTER IOTA WITH VARIA
1F77,ID_DIS or FREE_PVAL,GREEK SMALL LETTER IOTA WITH OXIA
1F78,PVALID,GREEK SMALL LETTER OMICRON WITH VARIA
1F79,ID_DIS or FREE_PVAL,GREEK SMALL LETTER OMICRON WITH OXIA
1F7A,PVALID,GREEK SMALL LETTER UPSILON WITH VARIA
1F7B,ID_DIS or FREE_PVAL,GREEK SMALL LETTER UPSILON WITH OXIA
1F7C,PVALID,GREEK SMALL LETTER OMEGA WITH VARIA
1F7D,ID_DIS or FREE_PVAL,GREEK SMALL LETTER OMEGA WITH OXIA
1F7E-1F7F,UNASSIGNED,<RESERVED>..<RESERVED>
1F80-1F87,PVALID,GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1F88-1F8F,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI..GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1F90-1F97,PVALID,GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1F98-1F9F,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI..GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FA0-1FA7,PVALID,GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1FA8-1FAF,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI..GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FB0-1FB4,PVALID,GREEK SMALL LETTER ALPHA WITH VRACHY..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB5,UNASSIGNED,<RESERVED>
1FB6-1FBA,PVALID,GREEK SMALL LETTER ALPHA WITH PERISPOMENI..GREEK CAPITAL LETTER ALPHA WITH VARIA
1FBB-1FC1,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER ALPHA WITH OXIA..GREEK DIALYTIKA AND PERISPOMENI
1FC2-1FC4,PVALID,GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC5,UNASSIGNED,<RESERVED>
1FC6-1FC8,PVALID,GREEK SMALL LETTER ETA WITH PERISPOMENI..GREEK CAPITAL LETTER EPSILON WITH VARIA
1FC9,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER EPSILON WITH OXIA
1FCA,PVALID,GREEK CAPITAL LETTER ETA WITH VARIA
1FCB-1FCF,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER ETA WITH OXIA..GREEK PSILI AND PERISPOMENI
1FD0-1FD2,PVALID,GREEK SMALL LETTER IOTA WITH VRACHY..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA
1FD3,ID_DIS or FREE_PVAL,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD4-1FD5,UNASSIGNED,<RESERVED>..<RESERVED>
1FD6-1FDA,PVALID,GREEK SMALL LETTER IOTA WITH PERISPOMENI..GREEK CAPITAL LETTER IOTA WITH VARIA
1FDB,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER IOTA WITH OXIA
1FDC,UNASSIGNED,<RESERVED>
1FDD-1FDF,ID_DIS or FREE_PVAL,GREEK DASIA AND VARIA..GREEK DASIA AND PERISPOMENI
1FE0-1FE2,PVALID,GREEK SMALL LETTER UPSILON WITH VRACHY..GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND VARIA
1FE3,ID_DIS or FREE_PVAL,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
1FE4-1FEA,PVALID,GREEK SMALL LETTER RHO WITH PSILI..GREEK CAPITAL LETTER UPSILON WITH VARIA
1FEB,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER UPSILON WITH OXIA
1FEC,PVALID,GREEK CAPITAL LETTER RHO WITH DASIA
1FED-1FEF,ID_DIS or FREE_PVAL,GREEK DIALYTIKA AND VARIA..GREEK VARIA
1FF0-1FF1,UNASSIGNED,<RESERVED>..<RESERVED>
1FF2-1FF4,PVALID,GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF5,UNASSIGNED,<RESERVED>
1FF6-1FF8,PVALID,GREEK SMALL LETTER OMEGA WITH PERISPOMENI..GREEK CAPITAL LETTER OMICRON WITH VARIA
1FF9,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER OMICRON WITH OXIA
1FFA,PVALID,GREEK CAPITAL LETTER OMEGA WITH VARIA
1FFB-1FFE,ID_DIS or FREE_PVAL,GREEK CAPITAL LETTER OMEGA WITH OXIA..GREEK DASIA
1FFF,UNASSIGNED,<RESERVED>
2000-200A,ID_DIS or FREE_PVAL,EN QUAD..HAIR SPACE
200B,DISALLOWED,ZERO WIDTH SPACE
200C-200D,CONTEXTJ,ZERO WIDTH NON-JOINER..ZERO WIDTH JOINER
200E-200F,DISALLOWED,LEFT-TO-RIGHT MARK..RIGHT-TO-LEFT MARK
2010-2027,ID_DIS or FREE_PVAL,HYPHEN..HYPHENATION POINT
2028-202E,DISALLOWED,LINE SEPARATOR..RIGHT-TO-LEFT OVERRIDE
202F-205F,ID_DIS or FREE_PVAL,NARROW NO-BREAK SPACE..MEDIUM MATHEMATICAL SPACE
2060-2064,DISALLOWED,WORD JOINER..INVISIBLE PLUS
2065,UNASSIGNED,<RESERVED>
2066-206F,DISALLOWED,LEFT-TO-RIGHT ISOLATE..NOMINAL DIGIT SHAPES
2070-2071,ID_DIS or FREE_PVAL,SUPERSCRIPT ZERO..SUPERSCRIPT LATIN SMALL LETTER I
2072-2073,UNASSIGNED,<RESERVED>..<RESERVED>
2074-208E,ID_DIS or FREE_PVAL,SUPERSCRIPT FOUR..SUBSCRIPT RIGHT PARENTHESIS
208F,UNASSIGNED,<RESERVED>
2090-209C,ID_DIS or FREE_PVAL,LATIN SUBSCRIPT SMALL LETTER A..LATIN SUBSCRIPT SMALL LETTER T
209D-209F,UNASSIGNED,<RESERVED>..<RESERVED>
20A0-20BA,ID_DIS or FREE_PVAL,EURO-CURRENCY SIGN..TURKISH LIRA SIGN
20BB-20CF,UNASSIGNED,<RESERVED>..<RESERVED>
20D0-20DC,PVALID,COMBINING LEFT HARPOON ABOVE..COMBINING FOUR DOTS ABOVE
20DD-20E0,ID_DIS or FREE_PVAL,COMBINING ENCLOSING CIRCLE..COMBINING ENCLOSING CIRCLE BACKSLASH
20E1,PVALID,COMBINING LEFT RIGHT ARROW ABOVE
20E2-20E4,ID_DIS or FREE_PVAL,COMBINING ENCLOSING SCREEN..COMBINING ENCLOSING UPWARD POINTING TRIANGLE
20E5-20F0,PVALID,COMBINING REVERSE SOLIDUS OVERLAY..COMBINING ASTERISK ABOVE
20F1-20FF,UNASSIGNED,<RESERVED>..<RESERVED>
2100-2131,ID_DIS or FREE_PVAL,ACCOUNT OF..SCRIPT CAPITAL F
2132,PVALID,TURNED CAPITAL F
2133-214D,ID_DIS or FREE_PVAL,SCRIPT CAPITAL M..AKTIESELSKAB
214E,PVALID,TURNED SMALL F
214F-2182,ID_DIS or FREE_PVAL,SYMBOL FOR SAMARITAN SOURCE..ROMAN NUMERAL TEN THOUSAND
2183-2184,PVALID,ROMAN NUMERAL REVERSED ONE HUNDRED..LATIN SMALL LETTER REVERSED C
2185-2189,ID_DIS or FREE_PVAL,ROMAN NUMERAL SIX LATE FORM..VULGAR FRACTION ZERO THIRDS
218A-218F,UNASSIGNED,<RESERVED>..<RESERVED>
2190-23F3,ID_DIS or FREE_PVAL,LEFTWARDS ARROW..HOURGLASS WITH FLOWING SAND
23F4-23FF,UNASSIGNED,<RESERVED>..<RESERVED>
2400-2426,ID_DIS or FREE_PVAL,SYMBOL FOR NULL..SYMBOL FOR SUBSTITUTE FORM TWO
2427-243F,UNASSIGNED,<RESERVED>..<RESERVED>
2440-244A,ID_DIS or FREE_PVAL,OCR HOOK..OCR DOUBLE BACKSLASH
244B-245F,UNASSIGNED,<RESERVED>..<RESERVED>
2460-26FF,ID_DIS or FREE_PVAL,CIRCLED DIGIT ONE..WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
2700,UNASSIGNED,<RESERVED>
2701-2B4C,ID_DIS or FREE_PVAL,UPPER BLADE SCISSORS..RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4D-2B4F,UNASSIGNED,<RESERVED>..<RESERVED>
2B50-2B59,ID_DIS or FREE_PVAL,WHITE MEDIUM STAR..HEAVY CIRCLED SALTIRE
2B5A-2BFF,UNASSIGNED,<RESERVED>..<RESERVED>
2C00-2C2E,PVALID,GLAGOLITIC CAPITAL LETTER AZU..GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C2F,UNASSIGNED,<RESERVED>
2C30-2C5E,PVALID,GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C5F,UNASSIGNED,<RESERVED>
2C60-2C7B,PVALID,LATIN CAPITAL LETTER L WITH DOUBLE BAR..LATIN LETTER SMALL CAPITAL TURNED E
2C7C-2C7D,ID_DIS or FREE_PVAL,LATIN SUBSCRIPT SMALL LETTER J..MODIFIER LETTER CAPITAL V
2C7E-2CE4,PVALID,LATIN CAPITAL LETTER S WITH SWASH TAIL..COPTIC SYMBOL KAI
2CE5-2CEA,ID_DIS or FREE_PVAL,COPTIC SYMBOL MI RO..COPTIC SYMBOL SHIMA SIMA
2CEB-2CF3,PVALID,COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI..COPTIC SMALL LETTER BOHAIRIC KHEI
2CF4-2CF8,UNASSIGNED,<RESERVED>..<RESERVED>
2CF9-2CFF,ID_DIS or FREE_PVAL,COPTIC OLD NUBIAN FULL STOP..COPTIC MORPHOLOGICAL DIVIDER
2D00-2D25,PVALID,GEORGIAN SMALL LETTER AN..GEORGIAN SMALL LETTER HOE
2D26,UNASSIGNED,<RESERVED>
2D27,PVALID,GEORGIAN SMALL LETTER YN
2D28-2D2C,UNASSIGNED,<RESERVED>..<RESERVED>
2D2D,PVALID,GEORGIAN SMALL LETTER AEN
2D2E-2D2F,UNASSIGNED,<RESERVED>..<RESERVED>
2D30-2D67,PVALID,TIFINAGH LETTER YA..TIFINAGH LETTER YO
2D68-2D6E,UNASSIGNED,<RESERVED>..<RESERVED>
2D6F-2D70,ID_DIS or FREE_PVAL,TIFINAGH MODIFIER LETTER LABIALIZATION MARK..TIFINAGH SEPARATOR MARK
2D71-2D7E,UNASSIGNED,<RESERVED>..<RESERVED>
2D7F-2D96,PVALID,TIFINAGH CONSONANT JOINER..ETHIOPIC SYLLABLE GGWE
2D97-2D9F,UNASSIGNED,<RESERVED>..<RESERVED>
2DA0-2DA6,PVALID,ETHIOPIC SYLLABLE SSA..ETHIOPIC SYLLABLE SSO
2DA7,UNASSIGNED,<RESERVED>
2DA8-2DAE,PVALID,ETHIOPIC SYLLABLE CCA..ETHIOPIC SYLLABLE CCO
2DAF,UNASSIGNED,<RESERVED>
2DB0-2DB6,PVALID,ETHIOPIC SYLLABLE ZZA..ETHIOPIC SYLLABLE ZZO
2DB7,UNASSIGNED,<RESERVED>
2DB8-2DBE,PVALID,ETHIOPIC SYLLABLE CCHA..ETHIOPIC SYLLABLE CCHO
2DBF,UNASSIGNED,<RESERVED>
2DC0-2DC6,PVALID,ETHIOPIC SYLLABLE QYA..ETHIOPIC SYLLABLE QYO
2DC7,UNASSIGNED,<RESERVED>
2DC8-2DCE,PVALID,ETHIOPIC SYLLABLE KYA..ETHIOPIC SYLLABLE KYO
2DCF,UNASSIGNED,<RESERVED>
2DD0-2DD6,PVALID,ETHIOPIC SYLLABLE XYA..ETHIOPIC SYLLABLE XYO
2DD7,UNASSIGNED,<RESERVED>
2DD8-2DDE,PVALID,ETHIOPIC SYLLABLE GYA..ETHIOPIC SYLLABLE GYO
2DDF,UNASSIGNED,<RESERVED>
2DE0-2DFF,PVALID,COMBINING CYRILLIC LETTER BE..COMBINING CYRILLIC LETTER IOTIFIED BIG YUS
2E00-2E2E,ID_DIS or FREE_PVAL,RIGHT ANGLE SUBSTITUTION MARKER..REVERSED QUESTION MARK
2E2F,PVALID,VERTICAL TILDE
2E30-2E3B,ID_DIS or FREE_PVAL,RING POINT..THREE-EM DASH
2E3C-2E7F,UNASSIGNED,<RESERVED>..<RESERVED>
2E80-2E99,ID_DIS or FREE_PVAL,CJK RADICAL REPEAT..CJK RADICAL RAP
2E9A,UNASSIGNED,<RESERVED>
2E9B-2EF3,ID_DIS or FREE_PVAL,CJK RADICAL CHOKE..CJK RADICAL C-SIMPLIFIED TURTLE
2EF4-2EFF,UNASSIGNED,<RESERVED>..<RESERVED>
2F00-2FD5,ID_DIS or FREE_PVAL,KANGXI RADICAL ONE..KANGXI RADICAL FLUTE
2FD6-2FEF,UNASSIGNED,<RESERVED>..<RESERVED>
2FF0-2FFB,ID_DIS or FREE_PVAL,IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO RIGHT..IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID
2FFC-2FFF,UNASSIGNED,<RESERVED>..<RESERVED>
3000-3004,ID_DIS or FREE_PVAL,IDEOGRAPHIC SPACE..JAPANESE INDUSTRIAL STANDARD SYMBOL
3005-3007,PVALID,IDEOGRAPHIC ITERATION MARK..IDEOGRAPHIC NUMBER ZERO
3008-3029,ID_DIS or FREE_PVAL,LEFT ANGLE BRACKET..HANGZHOU NUMERAL NINE
302A-302D,PVALID,IDEOGRAPHIC LEVEL TONE MARK..IDEOGRAPHIC ENTERING TONE MARK
302E-302F,DISALLOWED,HANGUL SINGLE DOT TONE MARK..HANGUL DOUBLE DOT TONE MARK
3030,ID_DIS or FREE_PVAL,WAVY DASH
3031-3035,DISALLOWED,VERTICAL KANA REPEAT MARK..VERTICAL KANA REPEAT MARK LOWER HALF
3036-303A,ID_DIS or FREE_PVAL,CIRCLED POSTAL MARK..HANGZHOU NUMERAL THIRTY
303B,DISALLOWED,VERTICAL IDEOGRAPHIC ITERATION MARK
303C,PVALID,MASU MARK
303D-303F,ID_DIS or FREE_PVAL,PART ALTERNATION MARK..IDEOGRAPHIC HALF FILL SPACE
3040,UNASSIGNED,<RESERVED>
3041-3096,PVALID,HIRAGANA LETTER SMALL A..HIRAGANA LETTER SMALL KE
3097-3098,UNASSIGNED,<RESERVED>..<RESERVED>
3099-309A,PVALID,COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK..COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309B-309C,ID_DIS or FREE_PVAL,KATAKANA-HIRAGANA VOICED SOUND MARK..KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309D-309E,PVALID,HIRAGANA ITERATION MARK..HIRAGANA VOICED ITERATION MARK
309F-30A0,ID_DIS or FREE_PVAL,HIRAGANA DIGRAPH YORI..KATAKANA-HIRAGANA DOUBLE HYPHEN
30A1-30FA,PVALID,KATAKANA LETTER SMALL A..KATAKANA LETTER VO
30FB,CONTEXTO,KATAKANA MIDDLE DOT
30FC-30FE,PVALID,KATAKANA-HIRAGANA PROLONGED SOUND MARK..KATAKANA VOICED ITERATION MARK
30FF,ID_DIS or FREE_PVAL,KATAKANA DIGRAPH KOTO
3100-3104,UNASSIGNED,<RESERVED>..<RESERVED>
3105-312D,PVALID,BOPOMOFO LETTER B..BOPOMOFO LETTER IH
312E-3130,UNASSIGNED,<RESERVED>..<RESERVED>
3131-3163,ID_DIS or FREE_PVAL,HANGUL LETTER KIYEOK..HANGUL LETTER I
3164,DISALLOWED,HANGUL FILLER
3165-318E,ID_DIS or FREE_PVAL,HANGUL LETTER SSANGNIEUN..HANGUL LETTER ARAEAE
318F,UNASSIGNED,<RESERVED>
3190-319F,ID_DIS or FREE_PVAL,IDEOGRAPHIC ANNOTATION LINKING MARK..IDEOGRAPHIC ANNOTATION MAN MARK
31A0-31BA,PVALID,BOPOMOFO LETTER BU..BOPOMOFO LETTER ZY
31BB-31BF,UNASSIGNED,<RESERVED>..<RESERVED>
31C0-31E3,ID_DIS or FREE_PVAL,CJK STROKE T..CJK STROKE Q
31E4-31EF,UNASSIGNED,<RESERVED>..<RESERVED>
31F0-31FF,PVALID,KATAKANA LETTER SMALL KU..KATAKANA LETTER SMALL RO
3200-321E,ID_DIS or FREE_PVAL,PARENTHESIZED HANGUL KIYEOK..PARENTHESIZED KOREAN CHARACTER O HU
321F,UNASSIGNED,<RESERVED>
3220-32FE,ID_DIS or FREE_PVAL,PARENTHESIZED IDEOGRAPH ONE..CIRCLED KATAKANA WO
32FF,UNASSIGNED,<RESERVED>
3300-33FF,ID_DIS or FREE_PVAL,SQUARE APAATO..SQUARE GAL
3400-4DB5,PVALID,"<CJK IDEOGRAPH EXTENSION A, FIRST>..<CJK IDEOGRAPH EXTENSION A, LAST>"
4DB6-4DBF,UNASSIGNED,<RESERVED>..<RESERVED>
4DC0-4DFF,ID_DIS or FREE_PVAL,HEXAGRAM FOR THE CREATIVE HEAVEN..HEXAGRAM FOR BEFORE COMPLETION
4E00-9FCC,PVALID,"<CJK IDEOGRAPH, FIRST>..<CJK IDEOGRAPH, LAST>"
9FCD-9FFF,UNASSIGNED,<RESERVED>..<RESERVED>
A000-A48C,PVALID,YI SYLLABLE IT..YI SYLLABLE YYR
A48D-A48F,UNASSIGNED,<RESERVED>..<RESERVED>
A490-A4C6,ID_DIS or FREE_PVAL,YI RADICAL QOT..YI RADICAL KE
A4C7-A4CF,UNASSIGNED,<RESERVED>..<RESERVED>
A4D0-A4FD,PVALID,LISU LETTER BA..LISU LETTER TONE MYA JEU
A4FE-A4FF,ID_DIS or FREE_PVAL,LISU PUNCTUATION COMMA..LISU PUNCTUATION FULL STOP
A500-A60C,PVALID,VAI SYLLABLE EE..VAI SYLLABLE LENGTHENER
A60D-A60F,ID_DIS or FREE_PVAL,VAI COMMA..VAI QUESTION MARK
A610-A62B,PVALID,VAI SYLLABLE NDOLE FA..VAI SYLLABLE NDOLE DO
A62C-A63F,UNASSIGNED,<RESERVED>..<RESERVED>
A640-A66F,PVALID,CYRILLIC CAPITAL LETTER ZEMLYA..COMBINING CYRILLIC VZMET
A670-A673,ID_DIS or FREE_PVAL,COMBINING CYRILLIC TEN MILLIONS SIGN..SLAVONIC ASTERISK
A674-A67D,PVALID,COMBINING CYRILLIC LETTER UKRAINIAN IE..COMBINING CYRILLIC PAYEROK
A67E,ID_DIS or FREE_PVAL,CYRILLIC KAVYKA
A67F-A697,PVALID,CYRILLIC PAYEROK..CYRILLIC SMALL LETTER SHWE
A698-A69E,UNASSIGNED,<RESERVED>..<RESERVED>
A69F-A6E5,PVALID,COMBINING CYRILLIC LETTER IOTIFIED E..BAMUM LETTER KI
A6E6-A6EF,ID_DIS or FREE_PVAL,BAMUM LETTER MO..BAMUM LETTER KOGHOM
A6F0-A6F1,PVALID,BAMUM COMBINING MARK KOQNDON..BAMUM COMBINING MARK TUKWENTIS
A6F2-A6F7,ID_DIS or FREE_PVAL,BAMUM NJAEMLI..BAMUM QUESTION MARK
A6F8-A6FF,UNASSIGNED,<RESERVED>..<RESERVED>
A700-A716,ID_DIS or FREE_PVAL,MODIFIER LETTER CHINESE TONE YIN PING..MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR
A717-A71F,PVALID,MODIFIER LETTER DOT VERTICAL BAR..MODIFIER LETTER LOW INVERTED EXCLAMATION MARK
A720-A721,ID_DIS or FREE_PVAL,MODIFIER LETTER STRESS AND HIGH TONE..MODIFIER LETTER STRESS AND LOW TONE
A722-A76F,PVALID,LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF..LATIN SMALL LETTER CON
A770,ID_DIS or FREE_PVAL,MODIFIER LETTER US
A771-A788,PVALID,LATIN SMALL LETTER DUM..MODIFIER LETTER LOW CIRCUMFLEX ACCENT
A789-A78A,ID_DIS or FREE_PVAL,MODIFIER LETTER COLON..MODIFIER LETTER SHORT EQUALS SIGN
A78B-A78E,PVALID,LATIN CAPITAL LETTER SALTILLO..LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT
A78F,UNASSIGNED,<RESERVED>
A790-A793,PVALID,LATIN CAPITAL LETTER N WITH DESCENDER..LATIN SMALL LETTER C WITH BAR
A794-A79F,UNASSIGNED,<RESERVED>..<RESERVED>
A7A0-A7AA,PVALID,LATIN CAPITAL LETTER G WITH OBLIQUE STROKE..LATIN CAPITAL LETTER H WITH HOOK
A7AB-A7F7,UNASSIGNED,<RESERVED>..<RESERVED>
A7F8-A7F9,ID_DIS or FREE_PVAL,MODIFIER LETTER CAPITAL H WITH STROKE..MODIFIER LETTER SMALL LIGATURE OE
A7FA-A827,PVALID,LATIN LETTER SMALL CAPITAL TURNED M..SYLOTI NAGRI VOWEL SIGN OO
A828-A82B,ID_DIS or FREE_PVAL,SYLOTI NAGRI POETRY MARK-1..SYLOTI NAGRI POETRY MARK-4
A82C-A82F,UNASSIGNED,<RESERVED>..<RESERVED>
A830-A839,ID_DIS or FREE_PVAL,NORTH INDIC FRACTION ONE QUARTER..NORTH INDIC QUANTITY MARK
A83A-A83F,UNASSIGNED,<RESERVED>..<RESERVED>
A840-A873,PVALID,PHAGS-PA LETTER KA..PHAGS-PA LETTER CANDRABINDU
A874-A877,ID_DIS or FREE_PVAL,PHAGS-PA SINGLE HEAD MARK..PHAGS-PA MARK DOUBLE SHAD
A878-A87F,UNASSIGNED,<RESERVED>..<RESERVED>
A880-A8C4,PVALID,SAURASHTRA SIGN ANUSVARA..SAURASHTRA SIGN VIRAMA
A8C5-A8CD,UNASSIGNED,<RESERVED>..<RESERVED>
A8CE-A8CF,ID_DIS or FREE_PVAL,SAURASHTRA DANDA..SAURASHTRA DOUBLE DANDA
A8D0-A8D9,PVALID,SAURASHTRA DIGIT ZERO..SAURASHTRA DIGIT NINE
A8DA-A8DF,UNASSIGNED,<RESERVED>..<RESERVED>
A8E0-A8F7,PVALID,COMBINING DEVANAGARI DIGIT ZERO..DEVANAGARI SIGN CANDRABINDU AVAGRAHA
A8F8-A8FA,ID_DIS or FREE_PVAL,DEVANAGARI SIGN PUSHPIKA..DEVANAGARI CARET
A8FB,PVALID,DEVANAGARI HEADSTROKE
A8FC-A8FF,UNASSIGNED,<RESERVED>..<RESERVED>
A900-A92D,PVALID,KAYAH LI DIGIT ZERO..KAYAH LI TONE CALYA PLOPHU
A92E-A92F,ID_DIS or FREE_PVAL,KAYAH LI SIGN CWI..KAYAH LI SIGN SHYA
A930-A953,PVALID,REJANG LETTER KA..REJANG VIRAMA
A954-A95E,UNASSIGNED,<RESERVED>..<RESERVED>
A95F,ID_DIS or FREE_PVAL,REJANG SECTION MARK
A960-A97C,DISALLOWED,HANGUL CHOSEONG TIKEUT-MIEUM..HANGUL CHOSEONG SSANGYEORINHIEUH
A97D-A97F,UNASSIGNED,<RESERVED>..<RESERVED>
A980-A9C0,PVALID,JAVANESE SIGN PANYANGGA..JAVANESE PANGKON
A9C1-A9CD,ID_DIS or FREE_PVAL,JAVANESE LEFT RERENGGAN..JAVANESE TURNED PADA PISELEH
A9CE,UNASSIGNED,<RESERVED>
A9CF-A9D9,PVALID,JAVANESE PANGRANGKEP..JAVANESE DIGIT NINE
A9DA-A9DD,UNASSIGNED,<RESERVED>..<RESERVED>
A9DE-A9DF,ID_DIS or FREE_PVAL,JAVANESE PADA TIRTA TUMETES..JAVANESE PADA ISEN-ISEN
A9E0-A9FF,UNASSIGNED,<RESERVED>..<RESERVED>
AA00-AA36,PVALID,CHAM LETTER A..CHAM CONSONANT SIGN WA
AA37-AA3F,UNASSIGNED,<RESERVED>..<RESERVED>
AA40-AA4D,PVALID,CHAM LETTER FINAL K..CHAM CONSONANT SIGN FINAL H
AA4E-AA4F,UNASSIGNED,<RESERVED>..<RESERVED>
AA50-AA59,PVALID,CHAM DIGIT ZERO..CHAM DIGIT NINE
